PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),Benzene (ug/m3),T,TM,Tm,SLP,H,VV
110.96,16.41,36.07,32.31,1.54,16.1,22.5,9.6,1015.8,66,1.9
135.58,19.09,41.08,37.14,2.81,16.9,24,8,1017.4,58,2.1
101.72,10.86,35.93,27.8,1.74,17.8,25,8.4,1019.7,65,2.1
108.09,11.15,38.03,29.15,2.07,18.2,25,8.9,1021.9,59,2.3
124.68,19.54,36.92,35.28,1.68,18.6,29,10.2,1021.3,59,1.8
120.46,12.71,40.07,31.48,2.1,19.7,27,9.8,1020.3,58,2.4
107.15,9.93,37.91,28.1,1.56,19.9,27.4,13,1017,61,1.8
104.56,15.41,34.1,30.47,1.77,21.3,27.6,15.4,1017.6,65,1.9
85.3,17.07,36.38,33,1.26,22.1,30,14.4,1016.2,66,2.3
78.08,38.44,39.4,51.71,0.88,24.1,31,15.6,1011.1,57,3.1
109.7,14.21,24.71,24.51,1.67,24.8,32,16.4,1005,56,2.4
107.65,15.06,28.42,27.11,2.45,20.9,32.4,15.7,1008.2,74,1.9
101.87,8.51,27.16,21.26,1.45,20.6,27,12,1012.9,55,2.6
